"sample,replicate",Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:A,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:B,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:C,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Botrytis:D,Mock:A,Mock:A,Mock:A,Mock:A,Mock:A,Mock:A,Mock:A,Mock:A,Mock:A,Mock:A,Mock:A,Mock:A,Mock:A,Mock:A,Mock:A,Mock:A,Mock:A,Mock:A,Mock:A,Mock:A,Mock:A,Mock:A,Mock:A,Mock:A,Mock:B,Mock:B,Mock:B,Mock:B,Mock:B,Mock:B,Mock:B,Mock:B,Mock:B,Mock:B,Mock:B,Mock:B,Mock:B,Mock:B,Mock:B,Mock:B,Mock:B,Mock:B,Mock:B,Mock:B,Mock:B,Mock:B,Mock:B,Mock:B,Mock:C,Mock:C,Mock:C,Mock:C,Mock:C,Mock:C,Mock:C,Mock:C,Mock:C,Mock:C,Mock:C,Mock:C,Mock:C,Mock:C,Mock:C,Mock:C,Mock:C,Mock:C,Mock:C,Mock:C,Mock:C,Mock:C,Mock:C,Mock:C,Mock:D,Mock:D,Mock:D,Mock:D,Mock:D,Mock:D,Mock:D,Mock:D,Mock:D,Mock:D,Mock:D,Mock:D,Mock:D,Mock:D,Mock:D,Mock:D,Mock:D,Mock:D,Mock:D,Mock:D,Mock:D,Mock:D,Mock:D,Mock:D
hours,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G34000,-1.005127552,-0.901463542,1.476982885,0.789919638,2.220758495,-0.742055238,-0.698624155,1.1052398,0.132846998,1.366015885,0.292972427,0.485219159,0.006670138,-0.82993173,1.738602218,1.313264155,0.083945015,-0.477393008,2.177633746,0.242573772,1.133350528,1.22888769,1.393029933,0.465553795,-1.003921425,-0.26721549,0.165645398,-0.095232872,0.148251731,0.035439327,-1.114505808,-0.585816411,-0.134497327,0.446273375,-0.258998098,0.749855393,-0.166775795,0.956962893,1.132002069,0.182651869,0.779006533,-1.311019424,-0.306473427,0.660211722,1.461877306,0.575543577,1.069806998,1.25934735,0.979058171,0.325567155,-1.808688444,0.921315383,2.067316096,0.882865347,-0.845872276,0.156729167,0.39274177,2.749548673,0.561850637,0.756027261,0.420067706,1.056686754,0.41173727,0.003678545,-0.981274099,-0.638893861,-0.148354979,-0.359394105,1.40286978,2.051208686,1.297884424,0.058396005,-0.211502284,0.162456073,-0.245224883,-0.220179271,1.269458351,-1.129422837,0.015560604,-0.034130806,1.277857296,0.527890238,0.544121079,0.08915685,1.329090409,0.559651579,-0.029929573,0.962881663,1.055842955,-0.843388236,-1.025874588,0.507841737,1.231199256,0.393389518,0.455946597,1.245182878,0.269232223,-0.361942635,-0.810313114,0.0099672,-0.106093864,1.250838715,-0.416891476,3.419302928,-0.103792843,0.398960083,-1.169818453,-0.28169347,-1.719374754,-2.634884312,-0.342974146,-0.818016992,-0.782176372,-1.163817953,-0.022698785,-0.441307537,-1.96203792,-0.824474189,-0.719588145,-0.947925711,0.882615104,-0.178232074,-0.614669797,0.394074107,0.591850302,-0.320822002,1.039005984,-0.209990109,0.143981147,1.883046572,-0.220900145,0.384797365,-0.64267545,-1.09233424,-2.634284851,-2.215546196,-1.360382315,-1.568265789,-1.749482465,-0.602365143,-0.954858666,1.083165409,-0.565179542,-1.222516541,-0.451030906,-1.361242375,0.045383827,0.943184273,0.401831053,-1.181345167,-0.614703307,0.106932771,0.192768642,1.367127407,1.237694141,-0.280135932,-1.243001813,-1.286220655,-0.274206723,-0.522266851,-0.583628769,-0.837823985,-0.854143957,-0.685294123,-1.316890836,-0.544141368,-1.306591412,-0.551625311,-1.136219391,-0.715827165,1.682787667,1.403597741,0.097376796,-0.091660611,-0.322104219,0.467649706,0.564302077,0.279038737,0.425141806,-1.304962535,-1.599201651,-0.673823946,-0.511834196,-0.342761371,-0.659265266,-0.834554915,-0.032314613,-0.988219813,-0.734722892,-0.18352749,-0.872434264,-1.263834151
AT3G19290,0.131742447,0.72747978,1.318622923,0.008203694,0.542561601,0.48642977,0.632142345,-0.009640591,0.129335948,0.220570777,2.635230249,0.404589518,0.446896105,-0.703054659,0.638971075,-0.097418211,-0.280589158,0.090701496,2.003103963,0.654963398,0.570847207,0.187430998,0.549944829,-0.023141784,0.066418529,0.605970676,0.264830706,-1.370873457,-0.331935549,1.0414812,0.050343944,-0.383840142,0.255802699,0.221353846,1.73608189,0.918692727,0.32980146,-0.998659181,-0.033087871,0.823998864,0.858668927,0.640766351,-1.065774475,0.299269414,1.061679928,-1.024085112,-0.702070035,0.361835789,0.577935602,1.803722919,-1.327068954,-2.091899985,1.46029167,1.565506982,0.304445598,0.419752137,1.186935206,3.487303892,0.24663512,1.240676886,0.911914906,0.765686353,-0.611476677,-0.369718419,0.021728438,-0.309150759,0.512963647,-0.701293124,0.514272424,-0.327810673,-0.667845213,-0.864090136,0.260559348,-0.000144753,-0.355136809,0.282560597,1.014213379,-0.240227459,1.487986375,0.757225335,0.767032226,0.124702391,1.945272035,0.93758533,1.360378843,0.690991966,-0.214592086,0.820397452,1.56166304,0.690160384,-0.341748918,0.481231413,0.743497792,-1.061936224,0.149846322,1.389533313,-0.663262053,0.016681628,0.001324146,-3.23742535,-1.843893488,0.137856188,-0.094853958,2.179564092,-0.371704746,0.176452563,-0.10947401,-0.105631401,-0.428435223,-0.967256555,-2.540094863,-0.407589995,-2.351050458,-1.293834666,-1.64287399,-0.893973657,-0.838857021,-0.815193858,-1.21880412,-0.688106254,1.034135334,0.115059098,-1.74399996,-0.935630715,0.174624807,-0.820660871,-0.318394099,0.013071347,0.807802909,-0.474119654,-0.144133006,1.531759217,-1.108164888,-1.37306659,-1.294923948,-1.577473957,-1.029757694,-0.976678453,-0.717148812,-0.806441212,-1.727280679,-0.365537849,-0.36440266,-0.933676156,-0.067434069,-1.042906567,-0.006394383,0.656012247,0.432836723,-0.805243255,0.334616396,1.076155972,-0.02622546,0.655790051,1.681872848,0.602433935,0.548800936,-0.629654041,0.129475206,-0.661255712,-0.705240932,0.203007886,-1.053210493,-1.142033719,-0.152390801,-1.637163107,-0.73723881,-0.417232239,1.040785794,-0.039094835,1.858123441,0.5213539,-0.1598913,0.236883264,0.514984037,0.919306891,0.801348366,-0.893017875,1.642539152,1.196164949,-0.201134489,-1.389916234,-0.5653982,-1.67613486,-0.564693406,0.144479387,-0.06197767,-0.999283376,-1.954294344,-0.138208214,-0.106360029,-2.221531404
AT2G40220,0.491480122,0.487647608,-0.925643771,-0.452925714,-0.567622242,-0.366723349,-0.601310745,1.216348869,-0.150605454,-0.885359987,-0.494566022,2.465125362,0.892725742,1.529133445,-0.114105599,-0.35105951,-0.804481157,-0.554373802,0.061641321,-0.626832041,-0.485343068,-1.132618724,-1.580731969,0.076523411,1.030060571,-1.057123036,-0.509709658,-0.839040299,0.366360417,-1.744034301,-0.873093239,-0.255228973,-0.973541225,-0.676899434,-0.923991264,-1.360740154,1.572685779,2.048774027,0.022062372,0.901200043,0.375932259,-0.334981696,-0.744083439,0.271983785,-0.532212122,-0.130050525,-0.931635022,0.020132918,0.084578941,-0.981364223,-0.018833513,-0.284601907,-0.555473159,0.177916836,-0.23715331,-0.843453993,-0.086953543,0.057636121,-0.027026697,0.757404609,1.982199681,0.36146465,-1.021171653,-0.278297425,-0.96037825,-1.371122728,-1.032650695,0.052135373,-0.407917748,0.558803151,-2.052713574,-0.075944747,0.456169437,1.549789656,0.076232255,-1.195644474,-0.026293712,-0.983891658,0.503057259,-0.495547564,-0.871869066,-1.273525057,1.273409879,-0.236769689,1.07824233,0.887026868,-0.888115038,-0.440157351,-1.368726215,-2.562297227,-1.045923115,-1.436555685,-0.835877349,-0.851496564,-0.634876429,0.384761166,0.540573956,-0.57268435,-0.743383133,-0.65050047,-0.55750175,-1.09336215,-0.902364533,0.258933917,-0.96681547,-1.186563076,0.172523715,1.318999294,1.718049626,2.315736804,1.171798787,1.703917529,1.734968647,1.785469111,0.658270697,0.433952142,1.274898041,0.914531743,0.885911275,3.085017979,-0.649310227,-0.448689115,0.847970593,0.345310785,-0.389845719,-0.939657188,-0.952016759,0.162814696,-0.102957421,-1.173834481,-0.584728933,2.198857022,3.553096155,2.00156672,0.59150046,-0.409580859,-0.02119559,-0.31775287,-1.072896826,-0.254144897,-0.694419178,0.150241629,0.600599344,1.230795715,-0.022356491,1.199056355,0.014355282,-2.260202182,-1.21847685,-0.296780599,-0.231133699,-0.59051351,-0.111205625,-1.174632495,-0.02201803,1.048152975,1.769230318,0.671274929,0.605694249,0.228090695,0.951076609,-1.391861156,0.704544988,0.040825382,1.645527758,0.491134541,0.407031009,0.336661326,1.07545329,0.557255293,0.220498293,0.619226517,-0.657865136,0.863272051,-1.112172405,-0.16346652,-0.329377103,-0.368949291,-1.156958415,0.260375488,0.637331284,2.238813098,0.487652404,0.485201557,-0.27383735,0.684007515,1.137493953,-0.292607718,-0.504141676,0.346183747,-0.163319929,-1.063001478
AT2G36270,-0.634662879,0.605024793,0.615759723,0.556027064,0.410010026,-0.197132607,-1.6603937,0.390508283,-0.450886455,1.11392758,-0.254651848,0.375521446,-0.17167539,0.142197613,0.359189325,-0.332383639,0.051812595,0.536009392,0.481683654,0.470467319,0.534318376,0.445798221,0.227463201,0.815143693,-0.277679261,0.464547088,1.07776815,-4.314838328,0.736859693,0.01909222,-1.034581851,1.099060202,0.583012429,-0.397638489,-1.092439476,-3.602734435,0.63030689,-0.616589596,1.121419021,-0.997069312,0.023498178,1.298604214,0.186727932,-0.210978042,1.198446862,0.298035763,1.240759317,0.880240491,-0.655771976,0.734094361,0.067119494,0.460467467,0.406669334,0.278586269,-0.511161827,-0.439461313,-0.050738868,-0.180964371,-0.116138303,0.407901337,0.872600486,1.57562316,-0.283599602,1.202927007,0.967019699,0.835925108,-1.283830841,-1.094540385,-0.100152673,-0.522444746,0.613968821,-1.313063757,-0.097461068,-1.219545314,-0.014967746,-0.065374364,-0.08157848,-0.031368488,0.647920895,-0.293032965,-1.346816294,-0.02871177,0.237809403,-0.462814457,0.380592918,0.140068404,0.642647027,0.287055232,-0.231985329,0.673003004,0.258604229,-0.011651531,0.479595756,0.295130477,0.444785461,0.334427035,-0.030948658,0.051972608,0.735752748,0.420466497,0.044022706,-0.380956761,0.122772243,-2.829736337,-0.339835721,0.812277425,0.635913637,0.493188264,0.162428661,-0.112595736,0.861170687,-0.021312206,-2.649520779,0.798965139,1.781739264,0.228079631,0.869618936,0.00854959,-6.30418367,0.150789403,-1.662869241,-2.715664491,0.021500335,-0.592282656,0.267529054,0.482889637,0.503928547,-0.101335743,-0.213695982,-1.172365889,-0.518052227,-0.423968152,0.700507981,0.591569255,1.265159818,0.719295756,1.049254367,-0.250550301,-0.012154974,-2.667580729,-0.431340413,0.930368309,0.284962218,0.631231692,1.343122362,0.673257785,-0.863195863,0.067224009,-1.01828309,-2.249243578,-0.303120506,0.393342702,0.382218348,-1.522024566,1.029056102,0.406734834,0.142776203,0.599271282,0.693223044,0.583040941,-0.919976116,0.10335666,0.477735204,-0.188244835,0.244849532,0.504255067,0.176154021,0.172328696,-1.600461923,-0.195849796,-0.781151162,0.378603051,-0.898868561,0.028644419,0.114483142,1.025463385,0.271457097,1.339407713,-0.288839685,0.620460608,0.319789627,-0.96549562,0.36921255,0.851436864,0.411528273,-0.107404746,0.498923956,1.015204417,0.367244193,-1.142167918,-0.547185515,0.242482284
AT1G01480,-0.553421891,-0.367126236,-0.296207532,-0.452172271,-0.643294601,-0.225243923,-0.394702739,-0.59881771,-0.750061124,-1.075408113,-0.609859528,-0.579674593,-1.041442529,0.07859204,-0.86559739,-0.751937523,-0.32132711,-0.576479646,-0.046673431,-0.430386679,-0.677428668,-0.478189825,-0.868053273,-0.13794753,-0.884106554,-0.580061446,-0.425345294,-1.195990726,-0.38398859,-0.430541142,-1.141454024,-0.086337177,-0.421087094,-0.573567549,-0.374258364,-0.280070033,-0.379017986,-0.487595001,-0.189845679,-0.39612973,-0.465367685,-0.129334565,-1.680130151,-0.709171552,-0.40741012,-0.456180005,-0.492219588,0.031358361,0.066627908,-0.994388379,-0.563245055,-0.935987476,-0.160487984,-2.277177202,-0.262621534,-1.143730804,-0.874271615,-2.394642076,-0.685504627,0.177910836,-1.8630113,-0.382613023,-0.048488969,-0.504770353,-2.184710377,-0.264764204,-0.643715614,-0.405297319,-0.468679034,-0.295614358,0.549690449,-0.819784657,-0.533530015,-0.68928414,-0.511491069,-1.017129547,0.743896657,-0.419166678,-0.296022644,-0.516673912,-1.28087532,-1.114013948,-0.654433512,-0.624605391,-0.443898491,-0.015233192,-1.096099375,-0.211769691,-0.371018125,-0.748527326,-0.004252739,-1.613736874,0.411992819,-0.256367117,-0.276284059,-0.344621251,-1.130042738,-0.272494817,-0.260386318,-3.376961312,-0.277483916,-0.859185196,-0.616811931,-0.490809077,-0.66277942,0.182561455,1.89528456,0.988749563,1.746185918,1.742164405,2.170618699,1.495986287,1.359791852,1.249051484,1.36014758,1.421786499,1.469692189,0.833309829,2.122230256,1.010793997,-0.799895402,0.249807935,-0.357847194,-0.363716955,-0.103827119,-0.74465906,-0.181477129,-0.093755052,-1.997798102,-0.156699108,-0.046599076,0.279762977,1.686770029,1.377969863,1.670078151,0.967416788,1.589102338,1.260621319,1.700317316,1.227109856,0.758963426,1.270208633,1.366791892,0.955283848,-0.228804771,-0.685121875,-0.903365609,-0.534364719,-0.436045901,-0.110707745,-0.524357452,-0.29626506,-0.171637803,0.37522005,0.780115406,0.498692922,1.133762862,2.079919931,0.821058513,1.132465908,1.315077657,0.707469474,1.483486607,1.333197095,1.947836004,1.91998847,1.229720173,1.183860617,-0.406146943,-0.247657045,-0.197701899,-0.275711142,-0.695648708,-0.430560695,-0.635437924,-0.825045945,0.394119959,0.020766605,0.137871208,1.310413957,1.57512647,1.53699563,1.503736971,1.310303291,1.272235798,1.717908023,2.31195822,1.385263284,1.049490572,1.314549712,1.580727768,1.089047283
AT2G37620,-0.041193227,0.52885106,0.144064461,0.254000901,0.169677009,-0.180385703,0.460757781,-0.939533463,-0.630108468,-0.537627482,-0.790360328,-0.669861864,-1.258564746,-0.009693635,0.255947578,1.365359294,0.361996613,0.075630236,0.242225853,-0.447549161,-0.289152331,-0.019808601,-1.005848531,1.449928392,-0.056189778,-0.973903508,0.250090387,-0.610216494,-0.234152129,-2.133707354,-1.043785078,-1.533871501,-0.993323407,-1.202951533,-0.591404422,0.494881299,-0.151532622,-1.142457144,-0.9129197,0.108158192,-1.60659995,-1.648829841,-0.212342338,-0.40447551,-1.404427435,0.069918478,-1.629456108,-0.067975501,1.687728116,1.953931038,-0.623555808,-1.427705417,-0.62447684,-0.664893198,-1.130021223,-1.328327924,-0.978389793,1.013048089,-0.004143334,-0.084885055,-0.804527726,0.289635702,0.277755162,-0.392678569,-1.706272125,0.607812356,-0.331875137,-0.882128795,-1.424891677,-1.344618583,-1.020382351,-0.114612164,2.26297648,-0.479412796,0.81735371,0.974292663,0.818870687,-0.130679046,1.05055132,0.15783124,1.873299231,-1.0982392,0.453519958,1.123670588,-0.027110422,-1.017976801,0.125619528,0.844394442,1.203230492,-0.928731394,0.475496793,0.324288149,0.648348511,-1.030378104,-0.257330281,0.694950612,0.730243194,-0.560657111,-0.828044464,-0.470860932,-0.776468624,-1.054094301,-1.629046844,0.839073528,-1.766776626,-1.07091246,1.263547433,0.556892263,0.735844676,1.651202712,0.586840629,-0.286074464,2.048778664,1.135609195,1.297265144,-0.102544036,-0.063423924,0.310108042,-0.305233961,1.326705617,0.588232201,1.903451013,-1.797104444,0.273448748,-0.759104982,-2.396189634,-2.15864431,-0.038342493,-0.395699795,-3.403397829,-1.532414103,1.209551469,-0.132082273,-0.745263568,0.40494283,1.096543443,-1.425011146,1.460680075,1.627521988,0.884647393,-0.21202892,0.396599859,0.33131516,1.330326478,1.556672789,-1.509452306,0.263220574,1.147672941,-0.433083989,-0.493595062,-0.156936337,-0.490105233,-0.049686524,-0.424727555,-1.042386177,0.581205965,0.965844938,1.291017092,0.366367198,0.521655685,2.246261286,-0.376721778,1.295995843,1.684545264,0.259727834,0.740510646,1.07777383,1.240725768,1.051575822,-0.631337359,0.005105728,-0.122031074,-0.13935674,0.119808789,0.490052827,-0.562717686,0.023457003,0.337421772,1.335790359,-0.051044048,0.54279307,0.160999019,1.522269682,1.858715978,1.453991858,-0.042871387,0.907984143,0.677417906,0.096702963,-0.353247456,-0.058807218,0.357233104
AT3G01420,-0.459596153,-0.766496651,-0.479366778,-0.196882186,-0.668417005,-0.662899989,-0.944164891,-0.491493628,-0.689211649,-1.14895403,-0.897353004,-0.333582014,-0.979191439,-0.340019861,-0.511151527,-0.384358085,-0.342867084,-0.21990415,-0.475141442,-0.114707713,-0.277455014,-0.12715192,-0.106496068,0.222915339,-0.453611395,-0.940589095,-0.654218579,-0.770214344,-0.487774737,-0.908174215,-0.67566683,-0.810011201,-0.968322549,-0.594384258,-0.785468277,-0.821679517,-0.793106396,-0.767221671,-0.294719096,-0.290282889,-0.111460809,-0.457953568,-0.158012029,-0.230388231,-0.397465952,-0.666527055,-0.228415332,-0.272466408,-0.195885801,-0.728107431,-0.382959208,-1.182642366,-0.556227911,-0.588713174,-1.297874053,-0.807712558,-0.793063003,-0.937146882,-0.636348163,-0.285521732,-0.434294442,-1.089373155,-0.748311428,-0.002080142,-0.277581665,-0.178723281,-0.522862041,-0.244154957,0.075658792,-0.082315384,0.282701351,-0.863545531,-0.445871617,-0.356663865,-0.534195035,-0.755509206,-1.051898306,-0.568409458,-0.702155268,-0.749146131,-0.774529201,-0.69344436,-0.44614663,-0.775223471,-0.820173341,-0.287222483,-0.276628289,-0.577403768,-0.536720346,-0.246157996,0.601325349,-0.683709011,0.775283316,0.2663828,-0.405806129,0.146689736,-1.041366282,-0.836560115,-0.861349971,-0.697937323,-0.640412007,-1.451045447,-1.06373896,-0.613679792,-0.963607238,-0.568548533,0.986230535,1.645535912,0.576121176,0.697276656,1.910965543,1.56761987,1.486152185,1.513433605,1.990922554,2.001379511,1.941631895,1.814066844,2.290705543,1.568675256,-0.501509736,-0.243697407,-0.490645508,-0.812163864,-0.397043726,-0.301339825,-1.265074566,-0.334213284,-0.935705163,-1.262601246,-0.26610808,-0.265807841,0.279918661,0.478279906,1.029152785,1.742979754,1.175019019,1.691623685,1.915219415,2.100375108,1.5121378,0.853477867,1.644828643,1.264845834,-0.711993498,-0.262660839,-0.514633069,-0.599178447,-0.943088215,-0.909675828,-0.565184261,-0.722853935,-0.528744419,-0.295923066,-0.445167763,-0.622859899,0.475473026,1.124536725,0.736655782,0.884175898,1.776691458,0.916702277,1.983663535,2.157939601,2.216135604,2.285248365,1.947841838,2.135695093,-0.437066958,-0.415860123,-0.580553847,-0.362780322,-0.614771401,-0.725956614,-0.573790792,-0.422107223,-0.738391353,-0.453519062,-0.516491386,0.215154537,0.416183364,0.844350842,0.737670352,1.20829628,1.41280483,2.338723124,1.872041785,2.177313895,2.220354291,1.94598069,2.329210439,2.046487297
AT1G52890,-0.835011206,0.712055264,0.432066154,-0.744258017,-0.066745528,-1.460871423,-0.808665927,-1.10218982,-1.241856923,-1.112814995,-0.334692433,-0.251334931,-0.074725423,0.579711693,0.4774684,-0.297429544,-0.609748781,-0.898476372,-0.918968361,-1.15349911,-0.909845563,-0.42636299,-0.782245185,-0.125502572,0.034669975,-0.644430493,-0.119610293,-0.721881216,-0.631611288,-1.153104086,-1.404474814,-1.375752762,-1.030042975,-0.868401612,-0.661574657,-0.262202071,0.433734795,-0.112384073,-0.269763002,-0.155990323,-0.089770646,-0.669353574,-0.630276306,-0.905258433,-0.928921504,-0.340172626,0.110484629,-0.429830524,1.358334348,-1.454197005,-0.580540464,-1.313403597,0.041055386,-1.821516823,-1.377124601,-1.465988994,-1.135113233,-1.443575712,-0.233694607,0.188282506,-0.447106052,0.036778867,0.083852145,-0.44442428,-0.697606774,-0.826471421,-0.982620203,-0.444933827,-0.815633432,-0.583644312,-0.093228908,-0.171574408,1.08589775,0.246512355,-0.104635831,-0.940126749,1.758637758,-1.492344758,-1.322506732,-1.452920266,-0.881206161,-1.169910029,-0.431820659,-0.055927161,0.395133838,0.624917401,-0.855173865,-0.039370415,-1.129803255,-1.428529363,-0.19039931,-0.853152968,0.126642307,-0.87886899,-0.922175281,-0.425325294,0.869076711,-0.423837909,-0.828279929,-0.753341438,-0.867360764,-0.493283233,-1.036713166,-1.47134005,-0.995146433,-0.694462494,2.121328373,1.311289254,1.438075664,1.778361123,1.743808615,1.712170581,1.592327431,1.066310035,1.583886707,1.07044236,0.671780656,1.247065113,1.25193374,0.532296851,-0.055527872,-0.211264013,0.342727397,-0.109658597,-0.251199544,-1.221086445,-0.499497496,-0.545367005,-0.79451343,0.185186894,-0.103170581,0.359628595,1.422925193,1.51110536,1.699850408,1.49893724,1.528229581,0.890056372,1.664323931,1.398916315,0.713013633,0.515279443,1.089992191,0.906601684,1.096316111,0.239831963,-0.521567381,-0.829643919,-0.975239641,-1.385811612,-1.30894611,-0.849027584,-0.66563393,0.053826054,0.742035297,0.351915151,1.578605462,1.779279581,0.690227182,1.443621289,1.474758609,0.161179033,1.417408444,1.329663422,0.930803171,1.059207786,0.759042472,1.328182313,0.328301137,-0.051916051,0.261999439,0.696718182,-0.829395926,-1.515130744,-0.583401118,-1.155674703,-0.434989372,-0.40526769,-0.308340129,1.402510944,1.5175635,1.758583179,1.801740255,1.693062221,1.595634877,1.833793677,1.532916931,1.31793483,1.275422719,1.05315464,0.836935916,1.856345629
