condition,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
time,0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000
G1,1.146140685,-0.831964019,-1.439418376,-1.737505434,-1.74993984,-1.756525735,-1.765811669,-1.769059609,-1.760693554,-1.759074928,-1.746811098,-1.065562085,-0.649659317,-0.629172881,-0.257207728,-0.380672189,0.46331497,1.037239341,1.083881517,1.288397738,1.411512826,1.6819665,1.055790249,0.665989787,0.454664895,-0.468324229,-0.951649082,-0.85407648,-0.968160882,-0.777022786,-0.956273553,-0.889285513,-0.948354285,-0.991506425,-0.448643818,-0.724175738,-1.067369373,-0.994125082,-0.702792029,-0.559870345,-1.048820932,-0.795405583,1.246907382,1.490273928,1.403489156,0.927489637,1.366996485,0.318785757,-0.348190324,-0.410138345,-0.869082686,-0.842035839,-0.606113823,-1.030234676,-0.580537222,-0.923984049,-0.733712811,-0.783034475,-0.786764962,0.254532694,0.927641306,0.323688082,1.118625677,1.599994039,1.006231011,0.920919361,0.455521476,-0.16102481,-0.355302334,-0.686992951,-0.432893242,-0.955727298,-0.897913393,-0.965615799,-0.590614796,-0.604931708,-0.226565211,0.397740453,0.917132975,0.727800524,0.621092835,0.314409135,0.664937145,0.782957547,1.308266399,1.124899191,0.69483077,1.02881492,0.957700163,0.859660223,1.122501667,1.384775893,0.665739471,1.125060314,1.356216465,1.514827893,0.534294088,-0.024754785,-0.126884038,0.600194138,0.914041637,0.786231792,1.186813918,1.242868214,0.904181908
G2,-0.291546412,2.12234418,1.71160192,-0.043293917,0.554139057,1.055806876,0.679700948,0.786422661,0.448706569,-0.105749776,0.750623136,-0.333463638,-0.506347268,-1.291891403,-0.237260338,0.641636569,1.322777223,0.635004364,0.631346494,0.485557342,2.338576601,0.731403382,0.616244994,1.072182773,0.497005421,-0.492687713,-0.763472356,-1.887921725,-2.088661209,-2.096934043,-2.350095822,-2.111914701,-1.990975189,-1.724324368,-1.083060718,-0.70186313,-1.968038257,-0.375690752,-0.592664534,0.022597403,-1.028666405,0.709657074,0.319199903,-0.387172192,0.940970238,0.573453705,-0.40016304,-0.320247416,-1.072535632,-0.789723908,-1.370141192,-0.680487502,-0.526200884,-1.474850854,-1.216876167,-0.959163921,-0.882543641,-0.958320995,0.599150719,0.240728447,1.130128199,0.637545745,0.406440162,0.475013723,1.465785534,1.525414588,0.40646092,0.293643005,-0.249072424,-0.323893424,-0.833820732,-0.845783314,-1.962171877,-0.142785148,-1.531342473,-0.781042584,-0.483775085,0.577576407,-0.177806245,0.069725648,0.46835557,1.524255102,0.700431593,0.171384614,1.197653476,0.214671132,0.646646678,0.400781363,1.375577612,1.167804105,-0.028431135,0.136367224,0.559094306,0.997109711,-0.321245286,0.26145761,0.493260812,0.37792598,0.75365678,0.385388509,0.574857099,0.281021354,1.169578921,0.856792536,0.597476729
G3,1.762954569,1.328581216,0.812282599,0.977007969,0.497170472,0.23869788,0.045474011,0.304781309,-0.127848006,0.642854409,-0.067736701,-1.384221446,-0.9037355,-0.125113735,-0.058418859,0.459534745,0.719011366,0.510177071,1.030492432,1.134261131,0.476418238,0.975679716,0.086191437,-0.818093885,-1.459076489,-1.606179612,-1.60211897,-1.90629715,-1.836299827,-1.833049431,-1.539983928,-1.642847684,-1.966708849,-0.781464695,0.109292887,0.297275235,0.370011845,0.475501379,1.033051734,0.43621192,1.74392944,0.405795669,0.718255052,0.385016468,-0.466128685,-0.642756284,-1.637056173,-0.981263356,-1.224791529,-1.033190036,-1.441797907,-1.560140393,-1.625607356,-1.022959726,-0.133858384,-0.368213582,-0.477859708,0.535756296,0.899450012,-0.034430025,0.648226999,0.849523237,0.138794787,0.487736612,0.804126195,-0.253347257,-0.711513779,-1.374477158,-1.269072914,-1.333453695,-1.593243252,-1.476641041,-1.417612156,-1.297965247,-1.208478094,-0.390362427,0.197444888,0.403559337,0.541191599,0.30240889,0.798586162,1.431645653,0.694878294,0.376960404,1.239441491,1.595050922,1.448845844,0.90994497,0.587679841,0.746575446,0.91499898,0.795198426,1.267467763,1.082617284,0.882384025,0.198277085,1.033613639,0.204733977,1.029576827,0.853478522,0.498641083,0.719518084,0.332503424,0.348763554,0.859902176
G4,-0.761208672,-0.790223845,-0.757698101,-0.750799311,-0.735784577,-0.350351681,-0.641694082,-0.265993115,-0.757629246,-0.32286457,-0.443119621,-0.235745428,1.214479862,0.766999696,-0.595829442,-0.442436363,-0.619827698,-0.610808688,-0.980725795,-0.662609202,-0.783554396,-0.869918246,-0.568113519,-0.821228412,0.044171729,0.681258194,1.668581277,1.790364391,1.68053459,1.386880763,1.69168865,2.092327486,2.104191816,2.363872346,0.641069364,-0.415675942,-0.614238221,-0.579454017,-0.891342367,-0.475445154,-0.726162817,-0.652397933,-0.686381294,-0.669714029,-0.470259276,-0.383509306,0.597815405,1.477294375,2.102665343,2.130075124,1.716682662,1.867195463,1.85354089,2.249937699,0.705019163,0.336479166,-0.426547164,-0.615405586,-0.476360402,-0.467842979,-0.299124257,-0.499401567,-0.527919392,-0.788265701,-0.887893237,-0.535636503,-0.649362465,0.610228991,1.039018069,1.477201685,1.729117963,1.70836386,1.385984053,1.781788704,1.253661283,0.295765446,-0.301693096,-0.758468753,-0.440201208,-0.504512763,-0.511750005,-0.669091151,-0.5045027,-0.834846439,-0.817579071,-0.832949735,-0.779822959,-0.757027025,-0.875130077,-0.308716886,-0.368530059,-0.74416429,-0.761278057,-0.756836878,-0.786192091,-0.442138695,-0.642048953,-0.146133188,-0.377509874,-0.774506785,-0.78661158,-0.219383246,-0.745372439,-0.752894107,-0.737859776
G5,-0.626803186,0.283998601,0.150912142,0.460401391,0.334145197,0.272127467,0.280810008,0.390443322,0.485874879,0.445135397,0.44726857,-0.31432632,-0.26158172,-0.468759783,-0.432408291,-0.566442043,-0.577498106,-0.370895352,-0.725657809,-0.682110531,-0.603459932,-0.655875448,-0.573207667,-0.277480613,-0.495214649,0.248237697,1.780313345,2.853129291,2.695496069,3.405426461,3.065140783,2.643778095,3.556389846,2.588794545,2.775591115,1.131358779,0.058672117,-0.130557915,-0.080974289,-0.506355921,-0.466599579,-0.609469249,-0.384605246,0.363977879,0.220366594,1.020709417,0.520170769,0.781661285,0.959024884,1.187266704,0.89771586,0.850805458,0.743485137,-0.196937778,-0.377029839,-0.599075469,-0.329843828,-0.645831907,-0.666143471,-0.43622332,-0.516218465,-0.386236565,-0.357830111,-0.630599998,-0.407441357,-0.418911714,-0.742223685,-0.550777035,-0.616296576,-0.615048406,-0.48443008,-0.448179076,-0.586786515,-0.650619499,-0.629644477,-0.570743059,-0.565305526,-0.705494333,-0.733539969,-0.540109997,-0.492838776,-0.43154033,-0.657038409,-0.610386572,-0.592663611,-0.724568892,-0.576805853,-0.43631088,-0.555579317,-0.684927729,-0.64190875,-0.609684329,-0.623017539,-0.564065583,-0.390749723,-0.494776849,-0.257970605,-0.51278012,-0.653853341,-0.469474367,-0.591243259,-0.697342441,-0.451459931,-0.530345003,-0.429491192
G6,-0.85909228,-0.973677129,-0.500514574,-0.023210371,0.519307046,0.808822917,1.028764533,1.231111318,1.315268948,1.422283054,1.548380915,0.89878973,0.604090001,-0.177900257,-0.699484753,-0.755756492,-0.863514871,-0.82217391,-0.900634886,-0.861064925,-0.898248,-0.967207503,-0.807583361,-0.937369358,-0.959669612,-0.877660217,0.305644362,0.863874592,1.431618378,1.398653229,1.597321318,1.571144122,2.208280153,1.535166006,1.798745219,1.663756862,1.590584342,1.16848588,0.775770917,-0.035485404,-0.562006044,-0.820229209,-0.781758854,-0.196257864,0.447701617,0.661530827,1.258990412,1.455274259,1.289670253,1.1653011,1.470077027,1.351785161,1.94247605,1.291449561,0.929840386,0.604589205,-0.252903439,-0.701508753,-0.923440762,-0.84097861,-0.898218169,-0.940308312,-0.942606836,-0.810414695,-0.899924598,-0.884490463,-0.938923987,-0.993372993,-0.788544919,-0.881244887,-0.799622167,-0.94046049,-0.915898718,-0.946876118,-0.933345525,-1.006264666,-0.942198638,-0.869944471,-1.002691324,-1.031208582,-0.969735237,-0.689475014,-0.842951255,-0.96821044,-0.811643822,0.335708696,0.783182307,0.50508429,0.580898961,0.575426608,0.644556036,1.072454241,0.730022468,0.946852939,1.074202962,-0.302051906,-0.742567638,-0.592456297,-0.749804572,-0.901808881,-0.858331392,-0.881814326,-0.895345297,-0.897959505,-0.932891635
G7,-0.654526144,-0.656295315,-0.687107182,-0.678799646,-0.539539452,-0.544813009,-0.173019757,-0.097119065,-0.09076107,0.04287986,-0.236027985,0.185253083,-0.198905443,-0.305584599,-0.463182273,-0.557262343,-0.532881956,-0.687516908,-0.420166017,-0.658017725,-0.686544921,-0.56566229,-0.618950652,-0.124904746,1.464762198,2.219991946,3.669112735,3.066382464,3.379420625,3.05949561,3.497530366,3.139513049,2.535296963,1.62112958,1.070197959,0.300726325,-0.054578226,0.091791499,0.467664201,0.240528284,-0.185373896,-0.437802621,-0.615793087,-0.714650144,-0.628623757,-0.462885555,-0.210352172,0.156788793,0.024465556,0.395857433,0.192794609,0.623727628,0.290133006,0.606869838,0.195541891,0.161143249,0.044426355,-0.206581131,-0.536278899,-0.583406336,-0.328570469,-0.704910236,-0.532073637,-0.681369343,-0.579618037,-0.392860763,-0.112600709,0.126883224,0.016543252,-0.115781098,-0.430458165,-0.054950097,0.105686009,-0.065881329,-0.248715028,-0.64472333,-0.666488928,-0.681273035,-0.592746537,-0.737005838,-0.633331713,-0.736759222,-0.666618081,-0.542086881,-0.663636988,-0.602066142,-0.610976576,-0.595928597,-0.18002964,-0.148343208,-0.45715384,-0.233718821,-0.225748642,0.582631408,0.061027508,-0.199461023,0.085773087,-0.518966291,-0.526747195,-0.592528314,-0.560814604,-0.575870934,-0.693039306,-0.693202418,-0.681000255
G8,0.813293303,1.454814437,0.487546482,0.283878025,-0.178654223,-0.622126717,-0.883580089,-0.554871206,-0.80024467,-0.777221502,-0.948993944,-0.65240585,-0.283705668,-0.447780996,0.498544546,0.733694054,0.815102848,0.710401653,0.920478855,1.075659598,1.583847916,1.133378316,-0.967554257,-1.179298237,-1.385125008,-1.351562709,-1.399367212,-1.403820186,-1.411765785,-1.464984104,-1.442054304,-1.453415957,-1.028321983,-0.875657214,-0.774139891,-0.727855445,-0.675475948,-0.686582199,-0.498736766,-0.437010669,-0.076544092,0.533707426,1.001206908,0.65005087,-0.183817578,-0.616224822,-0.582992519,-0.360186748,-0.816838344,-0.508742866,-0.988115791,-0.794625347,-0.883587499,-1.000243154,-0.801430779,-0.722479667,-0.744241142,-0.172277589,0.807279763,1.253526102,1.541806491,1.697944124,1.366851661,1.234401139,-0.492957386,-0.761767501,-0.569600006,-0.822024423,-0.476964917,-0.465057387,-0.385716998,-0.707294405,-0.728714522,-0.557007289,1.272808159,1.466489784,1.498983548,1.163183697,2.252932136,1.204424338,1.5184968,1.64141201,1.150783643,1.744493852,1.029783696,0.756839241,-0.174039215,-0.641214629,-0.683837994,-0.798243944,-0.76638152,-0.739560926,-0.88186638,-0.700544302,-0.821378757,-0.475700261,0.281614488,0.589847794,1.161353898,0.836138134,1.216442031,0.984241741,1.433823612,1.324358714,2.088667604
G9,-0.921218309,-0.971412055,-1.050050695,-1.362398953,-0.99730779,-0.742705182,-0.155355471,0.624382455,1.433255707,1.058768484,1.124557614,0.703619384,0.557734034,0.516954347,1.03980965,-0.011707278,-0.405122906,-0.862391366,-0.730984108,-0.996580928,-0.61868997,-0.745478913,-0.628603747,0.415521564,0.69892564,1.480339719,1.449585668,1.380765661,1.600334906,1.022884401,0.83845695,1.446739935,1.10849937,0.742821488,0.910632263,1.545071556,1.522510557,1.210582301,0.482133127,0.844248701,0.438191421,0.220814334,-1.093340539,-1.326789157,-1.284618748,-0.996601928,0.693598463,0.285272312,1.017918941,0.847090147,1.359839243,0.805740457,0.987607606,1.27088011,1.629213945,0.891581714,0.784127464,0.79621754,-0.27314693,-0.712403276,-0.645009564,-0.920810307,-0.975539652,-1.212677436,-0.722953057,-0.247746626,0.08040659,1.323218869,1.329038049,0.624210168,1.111055386,0.987287461,0.864608544,0.75558014,0.917230162,-0.146290271,-0.412136522,-0.596149113,-0.687724263,-0.209038667,-0.546737944,-0.90117904,-0.088142618,-0.132319183,-1.306128027,-1.530044298,-1.694498909,-1.585563935,-1.587559804,-1.42766008,-1.497118233,-1.486036163,-1.494473931,-1.355884198,-1.586174224,0.116063529,1.098921167,0.282571438,-0.432950653,-0.723064058,-0.921609169,-0.913787262,-0.725886218,-0.834355332,-0.843263674
