condition,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
time,0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000
G1,1.146140685,-0.831964019,-1.439418376,-1.737505434,-1.74993984,-1.756525735,-1.765811669,-1.769059609,-1.760693554,-1.759074928,-1.746811098,-1.065562085,-0.649659317,-0.629172881,-0.257207728,-0.380672189,0.46331497,1.037239341,1.083881517,1.288397738,1.411512826
G2,-0.291546412,2.12234418,1.71160192,-0.043293917,0.554139057,1.055806876,0.679700948,0.786422661,0.448706569,-0.105749776,0.750623136,-0.333463638,-0.506347268,-1.291891403,-0.237260338,0.641636569,1.322777223,0.635004364,0.631346494,0.485557342,2.338576601
G3,1.762954569,1.328581216,0.812282599,0.977007969,0.497170472,0.23869788,0.045474011,0.304781309,-0.127848006,0.642854409,-0.067736701,-1.384221446,-0.9037355,-0.125113735,-0.058418859,0.459534745,0.719011366,0.510177071,1.030492432,1.134261131,0.476418238
G4,-0.761208672,-0.790223845,-0.757698101,-0.750799311,-0.735784577,-0.350351681,-0.641694082,-0.265993115,-0.757629246,-0.32286457,-0.443119621,-0.235745428,1.214479862,0.766999696,-0.595829442,-0.442436363,-0.619827698,-0.610808688,-0.980725795,-0.662609202,-0.783554396
G5,-0.626803186,0.283998601,0.150912142,0.460401391,0.334145197,0.272127467,0.280810008,0.390443322,0.485874879,0.445135397,0.44726857,-0.31432632,-0.26158172,-0.468759783,-0.432408291,-0.566442043,-0.577498106,-0.370895352,-0.725657809,-0.682110531,-0.603459932
G6,-0.85909228,-0.973677129,-0.500514574,-0.023210371,0.519307046,0.808822917,1.028764533,1.231111318,1.315268948,1.422283054,1.548380915,0.89878973,0.604090001,-0.177900257,-0.699484753,-0.755756492,-0.863514871,-0.82217391,-0.900634886,-0.861064925,-0.898248
G7,-0.654526144,-0.656295315,-0.687107182,-0.678799646,-0.539539452,-0.544813009,-0.173019757,-0.097119065,-0.09076107,0.04287986,-0.236027985,0.185253083,-0.198905443,-0.305584599,-0.463182273,-0.557262343,-0.532881956,-0.687516908,-0.420166017,-0.658017725,-0.686544921
G8,0.813293303,1.454814437,0.487546482,0.283878025,-0.178654223,-0.622126717,-0.883580089,-0.554871206,-0.80024467,-0.777221502,-0.948993944,-0.65240585,-0.283705668,-0.447780996,0.498544546,0.733694054,0.815102848,0.710401653,0.920478855,1.075659598,1.583847916
G9,-0.921218309,-0.971412055,-1.050050695,-1.362398953,-0.99730779,-0.742705182,-0.155355471,0.624382455,1.433255707,1.058768484,1.124557614,0.703619384,0.557734034,0.516954347,1.03980965,-0.011707278,-0.405122906,-0.862391366,-0.730984108,-0.996580928,-0.61868997
G10,0.454779039,-1.367237351,-1.763046847,-1.945656083,-1.997908474,-2.110899399,-1.964892066,-1.882315507,-1.978326245,-2.063065906,-1.887149235,0.479335489,0.336528749,0.970085394,1.058936363,1.072676053,0.611051548,0.628613662,0.48004918,0.452109661,1.496374357
